Code commune;LIBGEO;DEP;Densité Médicale BV;Population;Evolution Population;Nb propriétaire;Nb Log Vacants;Nb Hotel;Nb Camping;PIB Régionnal
1001;L' Abergement-Clémenciat;1;0,092859537;725;16;196;9;0;0;173681
1002;L' Abergement-de-Varey;1;0,099228964;167;4;61;4;0;0;173681
1004;Ambérieu-en-Bugey;1;0,099228964;11432;512;1968;414;2;0;173681
1005;Ambérieux-en-Dombes;1;1;1407;39;344;18;2;1;173681
1006;Ambléon;1;0,100905129;86;-8;28;3;0;0;173681
1007;Ambronay;1;0,099228964;2144;65;613;49;0;0;173681
1008;Ambutrix;1;0,099228964;586;30;160;10;0;0;173681
1009;Andert-et-Condon;1;0,100905129;275;-4;101;4;0;0;173681
1010;Anglefort;1;0,08749581;772;17;224;36;1;0;173681
1011;Apremont;1;1;328;22;85;8;0;0;173681
1012;Aranc;1;0,147167281;275;-11;88;15;1;0;173681
1013;Arandas;1;0,099228964;135;-9;50;8;0;0;173681
1014;Arbent;1;1;3623;330;650;28;1;0;173681
1015;Arbignieu;1;0,100905129;431;-11;141;19;0;0;173681
1016;Arbigny;1;0,092189071;330;-17;110;10;1;0;173681
1017;Argis;1;0,099228964;389;-24;120;75;0;0;173681
1019;Armix;1;0,100905129;15;-2;9;7;0;0;173681
1021;Ars-sur-Formans;1;1;1100;33;240;9;1;1;173681
1022;Artemare;1;0,100905129;970;-1;261;54;1;1;173681
1023;Asnières-sur-Saône;1;1;69;-1;19;10;0;0;173681
1024;Attignat;1;0,083808247;1923;62;528;45;1;0;173681
1025;Bâgé-la-Ville;1;1;2318;77;627;24;0;0;173681
1026;Bâgé-le-Châtel;1;1;759;-25;168;17;0;0;173681
1027;Balan;1;1;1534;124;359;18;1;0;173681
1028;Baneins;1;0,092859537;528;7;148;2;0;0;173681
1029;Beaupont;1;1;492;-17;146;13;0;0;173681
1030;Beauregard;1;1;816;74;137;20;0;0;173681
1031;Bellignat;1;1;3505;378;469;33;1;0;173681
1032;Béligneux;1;1;2595;230;490;19;0;0;173681
1033;Bellegarde-sur-Valserine;1;0,067717063;10878;576;1756;516;4;0;173681
1034;Belley;1;0,100905129;8002;271;1266;328;2;0;173681
1035;Belleydoux;1;1;277;1;91;8;0;0;173681
1036;Belmont-Luthézieu;1;0,100905129;400;-19;121;25;1;0;173681
1037;Bénonces;1;0,073080791;241;-13;71;18;0;0;173681
1038;Bény;1;1;613;14;205;24;0;0;173681
1039;Béon;1;0,111632585;364;-3;105;23;0;0;173681
1040;Béréziat;1;0,083808247;341;2;103;11;0;0;173681
1041;Bettant;1;0,099228964;685;19;205;30;0;0;173681
1042;Bey;1;0,067046597;221;0;65;0;0;0;173681
1043;Beynost;1;1;3528;100;1020;44;2;0;173681
1044;Billiat;1;0,067717063;411;13;110;11;0;0;173681
1045;Birieux;1;0,102246061;145;5;29;1;0;0;173681
1046;Biziat;1;1;647;22;171;18;0;0;173681
