Région;Départements;Code commune;Commune;nombre de redevables;patrimoine moyen;impôt moyen
AUVERGNE-RHONE-ALPES;AIN;1053;BOURG-EN-BRESSE;168;2245649;8327
AUVERGNE-RHONE-ALPES;AIN;1283;OYONNAX;89;3179724;11547
AUVERGNE-RHONE-ALPES;ALLIER;3185;MONTLUCON;116;2607049;9145
AUVERGNE-RHONE-ALPES;ALLIER;3190;MOULINS;62;2584268;10450
AUVERGNE-RHONE-ALPES;ALLIER;3310;VICHY;171;2417506;8617
AUVERGNE-RHONE-ALPES;CANTAL;15014;AURILLAC;117;2558611;9370
AUVERGNE-RHONE-ALPES;DROME;26198;MONTELIMAR;162;2606073;10228
AUVERGNE-RHONE-ALPES;DROME;26281;ROMANS;98;2344238;7254
AUVERGNE-RHONE-ALPES;DROME;26362;VALENCE;255;2729147;10459
AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74010;ANNECY;530;2339880;8433
AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74011;ANNECY-LE-VIEUX;443;2514685;9898
AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74012;ANNEMASSE;112;2120585;6895
AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74268;SEYNOD;85;1923478;5310
AUVERGNE-RHONE-ALPES;HAUTE-SAVOIE;74281;THONON-LES-BAINS;229;2534940;10836
AUVERGNE-RHONE-ALPES;ISERE;38053;BOURGOIN JALLIEU;86;2481411;9656
AUVERGNE-RHONE-ALPES;ISERE;38185;GRENOBLE;711;2533316;9807
AUVERGNE-RHONE-ALPES;ISERE;38544;VIENNE;150;2380179;8948
AUVERGNE-RHONE-ALPES;ISERE;38563;VOIRON;107;2687110;11755
AUVERGNE-RHONE-ALPES;LOIRE;42187;ROANNE;109;2430263;8706
AUVERGNE-RHONE-ALPES;LOIRE;42207;SAINT CHAMOND;73;2534400;9057
AUVERGNE-RHONE-ALPES;LOIRE;42218;SAINT ETIENNE;486;2485536;9624
AUVERGNE-RHONE-ALPES;PUY-DE-DOME;63113;CLERMONT-FERRAND;485;2505935;11023
AUVERGNE-RHONE-ALPES;RHONE;69029;BRON;165;2441264;8939
